trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.9997532801828658}",25,0,-160.4401749728738,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 3}",0
2,False,"{'a': 0.95, 'e': 0.9994449374809851}",20,0,-35.843251535102816,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.9990133642141358}",25,0,-27.54595407297338,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.998458666866564}",25,5,-119.73733274418002,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
5,False,"{'a': 0.95, 'e': 0.99778098230154}",25,0,18.574298056736207,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.95, 'e': 0.9969804777275899}",35,17,-6.418637096461671,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.95, 'e': 0.996057350657239}",20,4,28.12286565357698,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.9950118288582788}",20,0,-39.698604028835526,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,False,"{'a': 0.95, 'e': 0.9938441702975689}",20,0,0.2932840846374515,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.9925546630773869}",20,0,16.139124802887164,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.9911436253643444}",25,4,-24.78895958294458,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.95, 'e': 0.9896114053108829}",30,16,-0.24262193640655205,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.9879583809693737}",25,0,-6.678125127836878,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.9861849601988383}",25,3,-29.135675753776027,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.95, 'e': 0.9842915805643155}",25,0,-57.30481542763238,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.982278709228899}",25,0,-46.11645488986448,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.9801468428384715}",30,1,16.965852544201415,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.977896507399165}",25,6,-18.318205936893158,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.9755282581475768}",25,11,25.64404328731341,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.95, 'e': 0.9730426794137726}",20,0,11.019398566267544,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.9704403844771128}",20,6,-17.557080094666947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.95, 'e': 0.9677220154149337}",20,0,24.602443730840076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.9648882429441257}",20,8,20.747790346983276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.9619397662556434}",25,10,-16.44933882189111,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.9588773128419905}",30,22,-4.951749550243301,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.9557016383177226}",20,11,15.382473612652774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.95, 'e': 0.9524135262330098}",20,14,9.09971069319135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.9490137878803078}",25,0,-44.19213168979854,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.95, 'e': 0.9455032620941839}",20,0,-19.7502486642921,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.95, 'e': 0.9418828150443468}",25,0,12.33354148675088,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.9381533400219317}",25,14,19.87871237887573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.9343157572190957}",25,15,22.73682143541842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.95, 'e': 0.9303710135019718}",25,4,23.32324275906889,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.9263200821770461}",20,11,16.667836193751747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.9221639627510075}",25,0,29.10241439368386,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.95, 'e': 0.9179036806841352}",20,11,12.488175703358827,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.9135402871372809}",25,6,34.03343471276739,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.9090748587125117}",20,0,32.2501989732705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.95, 'e': 0.9045084971874737}",20,7,-19.29419944370567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.95, 'e': 0.8998423292435453}",20,0,29.999303802825505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.8950775061878452}",25,8,33.00335968173566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.8902152036691648}",25,11,26.158947305857208,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.8852566213878946}",25,15,17.356451810696132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.8802029828000155}",25,7,29.695383393609358,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
