trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,14,-15.110013654770405,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-479.2101188933096,"{0: 79, 1: 13, 2: 17, 3: 4, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-29,-232.58325414769132,"{0: 30, 1: 6, 2: 7, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-604.0119791626457,"{0: 67, 1: 15, 2: 34, 3: 4, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-31,-309.06969074080763,"{0: 28, 1: 8, 2: 8, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-39,-192.13285584027392,"{0: 46, 1: 3, 2: 10, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-482.1918742964049,"{0: 77, 1: 8, 2: 23, 3: 7, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-23,-175.4393371247031,"{0: 28, 1: 6, 2: 11, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-666.526213212259,"{0: 64, 1: 15, 2: 32, 3: 0, 4: 9}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,17,-27.660916802941255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,-77,-546.6552121844788,"{0: 53, 1: 11, 2: 23, 3: 3, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-542.8180498080378,"{0: 77, 1: 7, 2: 31, 3: 4, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-31,-203.91553233012556,"{0: 27, 1: 9, 2: 12, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,12,-5.852409195226192,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,1,-51.7970560760164,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,-11,-149.23548415320107,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.88788262357625,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,7,-143.19726887816194,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-617.5280845494225,"{0: 74, 1: 10, 2: 23, 3: 4, 4: 9}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-584.4171975611192,"{0: 78, 1: 11, 2: 22, 3: 7, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-760.7346479934334,"{0: 68, 1: 13, 2: 32, 3: 1, 4: 11}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-42,-561.4137001403141,"{0: 31, 1: 5, 2: 14, 3: 2, 4: 10}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-637.025731148536,"{0: 72, 1: 10, 2: 23, 3: 7, 4: 8}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,-9,-83.76106112741864,"{0: 25, 1: 6, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-26,-168.84686698331487,"{0: 31, 1: 4, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-12,-164.60766840994646,"{0: 19, 1: 3, 2: 14, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-100,-494.48920532052307,"{0: 72, 1: 18, 2: 26, 3: 5, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-35,-171.16391674008963,"{0: 43, 1: 2, 2: 11, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-665.9626605127584,"{0: 70, 1: 8, 2: 27, 3: 7, 4: 8}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-100,-694.7106148560531,"{0: 79, 1: 15, 2: 21, 3: 4, 4: 11}",0
